company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Esparkinfo Solution,DevOps Engineer,India,480000.0,"CI/CD, Azure, Go, Ansible, NoSQL",,DevOps Engineer
Betaque,DevOps Engineer,Indore,500000.0,"Kubernetes, Git, AWS, Docker, Scripting",5.0,DevOps Engineer
Volancys (An ACL Digital Company),DevOps Engineer,India,1250000.0,"CI/CD, Kubernetes, Ansible, DevOps, Git",,DevOps Engineer
Recruise,1700_Devops Engineer,Bengaluru,650000.0,"CI/CD, Kubernetes, Ansible, DevOps, Process improvement",4.7,DevOps Engineer
Fusion Innovative,DevOps Engineer,Chennai,0.0,"System administration, Azure, Kubernetes, Software deployment, DevOps",,DevOps Engineer
Bizzhype HR,DevOps Engineer,Pune,2000000.0,"CI/CD, Cloud infrastructure, Azure, Salt, Kubernetes",5.0,DevOps Engineer
Arin Tech,DevOps Engineer,Chandigarh,550000.0,"Azure, Kubernetes, Ansible, DevOps, Git",,DevOps Engineer
White Mastery Systems,Devops Engineer,Chennai,3960000.0,"CI/CD, Cloud infrastructure, System administration, Software troubleshooting, Kubernetes",3.6,DevOps Engineer
Marktine Technology Solutions,Junior Devops Engineer,Jaipur,550000.0,"Jira, CI/CD, Azure, Kubernetes, Ansible",4.1,DevOps Engineer
Belinnov Solutions Private Limited,DevOps Engineer,Pune,1650000.0,"CI/CD, Cloud infrastructure, Cloud architecture, Kubernetes, Software deployment",,DevOps Engineer
Redian Software,DevOps Engineer,India,750000.0,"CI/CD, Elasticsearch, Cloud infrastructure, Ansible, Configuration management",4.0,DevOps Engineer
BerryBytes,Platform Engineer (DevOps),Remote,0.0,"CI/CD, Azure, Cassandra, Kubernetes, Ansible",3.4,DevOps Engineer
Nysha,Devops Engineer - 3+ years - Bangalore/Remote/WFH...,Bengaluru,650000.0,"CI/CD, Software troubleshooting, Kubernetes, Ansible, DevOps",,DevOps Engineer
LYFnGO Technologies Pvt Ltd,DevOps Engineer,Coimbatore,360000.0,"CI/CD, Cloud infrastructure, Kubernetes, Ansible, Software deployment",,DevOps Engineer
Weboit Technologies,DevOps Engineer,Jaipur,240000.0,"Azure, Kubernetes, DevOps, Google Cloud Platform, AWS",,DevOps Engineer
Colortokens,DevOps Engineer,Bengaluru,650000.0,"CI/CD, TCP, Go, Kubernetes, Ansible",2.7,DevOps Engineer
Haptik,DevOps Engineer - L1,Mumbai,1152000.0,"Jira, Cloud infrastructure, Azure, Kubernetes, Ansible",4.0,DevOps Engineer
Prakat Solutions,DevOps Engineer,Bengaluru,900000.0,"CI/CD, Kubernetes, Git, Docker, Terraform",4.3,DevOps Engineer
CIS,Junior DevOps Engineers,Indore,500000.0,"CI/CD, Cloud infrastructure, Azure, Kubernetes, DevOps",4.3,DevOps Engineer
MediBuddy,DevOps Engineer II,Bengaluru,0.0,"Ant, Salt, Kubernetes, Ansible, Software deployment",3.7,DevOps Engineer
Appsierra,DevOps Engineer,Noida,4800000.0,CI/CD,3.9,DevOps Engineer
Olive Trees Consulting,DevOps Engineer,India,950000.0,"CI/CD, Azure, Kubernetes, Git, English",,DevOps Engineer
Netstratum,Junior DevOps Engineer,Cochin,618000.0,"CI/CD, Cloud infrastructure, Software troubleshooting, DevOps, LAN",4.3,DevOps Engineer
GGWP,DevOps Engineer,Remote,1750000.0,"CI/CD, Kubernetes, Big data, DevOps, Git",,DevOps Engineer
Optum,Devops Engineer,Hyderābād,650000.0,"CI/CD, Cloud architecture, Kubernetes, Ansible, DevOps",3.5,DevOps Engineer
AKPS TECHNOLOGY PVT LTD,urgent open for DevOps Engineer,Delhi,850000.0,"CI/CD, Kubernetes, DevOps, Databases, SQL",,DevOps Engineer
Rite Software Solutions & Services (IN),Devops Engineer,Hyderābād,2400000.0,"CI/CD, Elasticsearch, Cloud infrastructure, Git, AWS",4.1,DevOps Engineer
Nagarro,"Staff Engineer, DevOps",Remote,0.0,,3.9,DevOps Engineer
Intellipro Group Inc,DevOps Engineer,India,2000000.0,"CI/CD, Kubernetes, Ansible, DevOps, AWS",4.2,DevOps Engineer
Verisk,Sr. DevOps Engineer I,Hyderābād,650000.0,"CI/CD, Continuous integration",3.9,DevOps Engineer
NGP Software Solutions,DevOps Engineer,Nāgpur,250000.0,,,DevOps Engineer
SoCtronics,DevOps Engineer,Hyderābād,500000.0,"Jira, Power BI, Azure, Ansible, DevOps",3.6,DevOps Engineer
SafeSquid Labs,DevOps Engineer,Mumbai,3240000.0,"TCP, CSS, Microsoft SQL Server, SQL, PHP",3.7,DevOps Engineer
Swastik Placement Agency,DevOps Engineer,Gāndhīnagar,450000.0,"DevOps, English, Network support",,DevOps Engineer
Apple,DevOps Engineer,Hyderābād,0.0,"CI/CD, Cloud infrastructure, Oracle, Go, Cloud architecture",4.1,DevOps Engineer
Enfec Solutions,DevOps Engineer (Gurugram),Gurgaon,700000.0,"Jira, CI/CD, Elasticsearch, TCP, System administration",4.5,DevOps Engineer
Fin Infocom,Devops Engineer,Hyderābād,450000.0,"FTP, CI/CD, Azure, Software troubleshooting, Kubernetes",3.7,DevOps Engineer
Webwheel Technologies Private Limited,DevOps Engineer 3+ YOE (Remote),Remote,300000.0,"CI/CD, Kubernetes, Ansible, Software deployment, DevOps",,DevOps Engineer
Watsoo Express Private Limited,Urgent Required - Devops Engineer - Support - Hyderabad,Hyderābād,1200000.0,"TCP, Cloud infrastructure, Azure, Oracle, Cassandra",,DevOps Engineer
NOKIA,DevOps Engineer,India,0.0,"System administration, Go, Kubernetes, DevOps, Git",4.0,DevOps Engineer
Msarii,DevOps Engineer,Remote,198000.0,"Azure, React, DevOps, PHP, SSL",,DevOps Engineer
Resolink Technologies Private Limited,DevOps Engineer / Manager,Remote,750000.0,"CI/CD, DevOps, AWS",,DevOps Engineer
Laddu Systems,Devops Engineer,Hyderābād,600000.0,"Java, Ruby, Python, MySQL",4.0,DevOps Engineer
GenexCorp,3. DevOps Engineer,Telangana,0.0,DevOps,,DevOps Engineer
Acrocede Technologies Pvt. Ltd.,DevOps Engineer,Hyderābād,0.0,"CI/CD, Ansible, Software deployment, Git, Windows",4.8,DevOps Engineer
Nexware Technologies,DEVOPS ENGINEER,Coimbatore,0.0,"CI/CD, DevOps, Docker, Terraform, Continuous integration",4.0,DevOps Engineer
Spectrum Talent Management,DevOps Engineer,Bengaluru,1750000.0,"Jira, CI/CD, Azure, Git, Java",3.3,DevOps Engineer
OMP,DevOps Engineer,Mumbai,600000.0,"CI/CD, Azure, Management, Cloud architecture, Kubernetes",3.9,DevOps Engineer
ADCI - Karnataka,"Devops Engineer III, Amazon Pay",Bengaluru,750000.0,"TCP, System administration, Operating systems, Software troubleshooting, XML",3.6,DevOps Engineer
Kayzen,DevOps Engineer,Bengaluru,650000.0,"Computer science, System administration, Scripting, APIs, Puppet",4.3,DevOps Engineer
Gaian Solutions,Devops Engineer,Hyderābād,150000.0,DevOps,3.3,DevOps Engineer
Cognisive,DevOps Engineer,Coimbatore,550000.0,"System administration, Azure, Ansible, DevOps, Windows",4.0,DevOps Engineer
Saffo Solution Technology,DevOps Engineer-Remote,Remote,0.0,"Cassandra, Kubernetes, DevOps, Git, MongoDB",4.2,DevOps Engineer
TechMojo Solutions,DevOps (Work from Office),Hyderābād,2400000.0,"CI/CD, Cloud architecture, Kubernetes, Ansible, DevOps",4.1,DevOps Engineer
Stibo Systems,DevOps Engineer,India,800000.0,"Microsoft Windows Server, Jira, Cloud infrastructure, Azure, Cassandra",3.7,DevOps Engineer
Nagarro,"Senior Engineer, DevOps",Remote,0.0,,3.9,DevOps Engineer
Indian Political Action Committee (I-PAC),DevOps Engineer,Hyderābād,0.0,"CI/CD, Azure, Kubernetes, Ansible, Software deployment",2.9,DevOps Engineer
Accenture,DevOps Engineer,Hyderābād,0.0,"CI/CD, Cloud infrastructure, Kubernetes, Software deployment, DevOps",3.8,DevOps Engineer
Techasoft,Devops Engineer,Bengaluru,650000.0,"CI/CD, Node.js, Kubernetes, Analysis skills, Docker",4.5,DevOps Engineer
RealPage India,DevOps Engineer III,Hyderābād,0.0,"CI/CD, Azure, Ansible, Writing skills, Git",3.6,DevOps Engineer
KoiReader Technologies,DevOps Engineer,Bengaluru,650000.0,"CI/CD, Cloud infrastructure, Oracle, Cloud architecture, Kubernetes",4.3,DevOps Engineer
Sleek,DevOps Engineer,Remote,0.0,"CI/CD, Cloud infrastructure, PCI, DevOps, PaaS",3.8,DevOps Engineer
SupportSages Consultancy Services Pvt Ltd,DevOps Engineer,Cochin,800000.0,"CI/CD, System administration, Go, Kubernetes, Ansible",,DevOps Engineer
NCS Pte Ltd.,DevOps Engineer - Bridgestone,India,0.0,"CI/CD, Azure, Incident management, DevOps, Git",3.3,DevOps Engineer
PureSoftware Technologies Pvt Ltd,Devops Engineer,Bengaluru,550000.0,"CI/CD, Continuous integration",3.4,DevOps Engineer
Immersive Infotech Pvt. Ltd,DevOps Salesforce Engineer,Remote,0.0,"Jira, CI/CD, Salesforce, DevOps, Git",4.9,DevOps Engineer
CENTRIC SOFTWARE INC,DevOps Engineer,Pune,550000.0,"CI/CD, Azure, Kubernetes, DevOps, MongoDB",4.3,DevOps Engineer
Josh Software,DevOps Engineer,Hyderābād,600000.0,"CI/CD, Cloud infrastructure, Azure, Node.js, Software troubleshooting",3.8,DevOps Engineer
Recruitment Smart,DevOps Engineer,Ahmedabad,550000.0,,4.3,DevOps Engineer
KLA,"Junior Engineer, DevOps",Chennai,4200000.0,"CI/CD, Azure, Kubernetes, Ansible, DevOps",4.0,DevOps Engineer
TECH NEXT,DevOps Engineer,Remote,900000.0,"Microsoft Windows Server, Azure, Kubernetes, DevOps, Git",,DevOps Engineer
Nithminds Private limited,DevOps Engineer,India,1000000.0,"CI/CD, Authentication, Azure, Kubernetes, DevOps",,DevOps Engineer
Centric Software,DevOps Engineer,Pune,550000.0,"CI/CD, Azure, Kubernetes, DevOps, MongoDB",4.3,DevOps Engineer
Trionxt Software,Devops Engineer,India,0.0,,4.8,DevOps Engineer
Boost Tech,DevOps Engineer,India,2700000.0,"CI/CD, Elasticsearch, Oracle, Node.js, Ansible",,DevOps Engineer
"Pinnacle Reliability India, PLC",DevOps Engineer,Hyderābād,900000.0,"CI/CD, Azure, Software troubleshooting, Kubernetes, DevOps",3.1,DevOps Engineer
Aliqan Technologies,DevOps Engineer,Hyderābād,3500000.0,"CI/CD, Azure, Kubernetes, Ansible, Software deployment",4.6,DevOps Engineer
Applogiq,DevOps Engineer,Pune,500000.0,"CI/CD, Git, Agile, Maven, Jenkins",4.6,DevOps Engineer
Nagarro,"Associate Principal Engineer, DevOps",Remote,0.0,,3.9,DevOps Engineer
Mafiree,Junior DevOps Engineer,Nagercoil,300000.0,"DevOps, Microsoft SQL Server, NoSQL, Java, PHP",,DevOps Engineer
Tech4Biz Solutions Pvt Ltd,DevOps Engineer,Bengaluru,600000.0,"CI/CD, Cloud infrastructure, System administration, Azure, Software troubleshooting",,DevOps Engineer
Data Ants Infotech,DevOps Engineer,India,1850000.0,"CI/CD, Azure, Kubernetes, DevOps, Git",,DevOps Engineer
Photon,DevOps Engineer,Bengaluru,800000.0,,4.0,DevOps Engineer
InitiateFirst.,DevOps Engineer,Hyderābād,600000.0,"CI/CD, Azure, Ansible, DevOps, Laboratory experience",3.5,DevOps Engineer
Alten Calsoft Labs,Devops Engineer,Bengaluru,800000.0,"CI/CD, Ansible, Software deployment, Continuous integration, Scripting",3.8,DevOps Engineer
Witmates,Devops Engineer,Indore,500000.0,"CI/CD, Kubernetes, Git, Docker, GitHub",5.0,DevOps Engineer
TGS Solution,DevOps Engineer,Rājkot,450000.0,DevOps,3.4,DevOps Engineer
Codash Solutions,DevOps Engineer,Remote,1140000.0,"CI/CD, Kubernetes, DevOps, .NET, Continuous integration",,DevOps Engineer
Viha Digital Commerce,DevOps Engineer,Ahmedabad,600000.0,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Ansible",4.2,DevOps Engineer
Virtusa,DevOps Engineer,Chennai,450000.0,"Jira, CI/CD, Bamboo, DevOps, Continuous integration",3.7,DevOps Engineer
DPR Solutions,Software Developers / Devops Engineer,Hyderābād,600000.0,"Azure, Kubernetes, AWS, Docker, Terraform",5.0,DevOps Engineer
Introlligent,DevOps Engineer,India,0.0,"FTP, NFS, Git, AWS, Samba",4.1,DevOps Engineer
Sensia,DevOps Engineer,Pune,650000.0,"Kubernetes, Continuous integration, Unit testing",3.7,DevOps Engineer
NPOWA SOLUTIONS,DevOps Engineer,Mangalore,1050000.0,"CI/CD, Git, Quality assurance, Continuous integration, GitHub",,DevOps Engineer
Minkasu,DevOps Engineer,Coimbatore,750000.0,"CI/CD, SSO, Node.js, Salt, Kubernetes",,DevOps Engineer
SAP,DevOps Engineer,Bengaluru,750000.0,"CI/CD, Cloud infrastructure, Azure, Node.js, Kubernetes",4.2,DevOps Engineer
Nowcom,Devops Engineer,Hyderābād,3000000.0,"CI/CD, System administration, Azure, Kubernetes, Ansible",3.8,DevOps Engineer
Ericsson,DevOps Engineer,Bengaluru,850000.0,"Jira, CI/CD, Performance tuning, Azure, Oracle",4.0,DevOps Engineer
Nuacem AI,DevOps Engineer,Hyderābād,500000.0,"CI/CD, Azure, Gradle, Node.js, Kubernetes",4.5,DevOps Engineer
360Ex,DevOps Engineer,Hyderābād,0.0,"CI/CD, Ansible, Software deployment, DevOps, Git",,DevOps Engineer
Udyat Technologies,DevOps Engineer,Mohali,270000.0,"CI/CD, Azure, Kubernetes, Ansible, Git",,DevOps Engineer
QualiZeal,DevOps Engineer,Hyderābād,500000.0,"CI/CD, Azure, Kubernetes, DevOps, Git",4.3,DevOps Engineer
Saviynt,Engineer - Devops,Bengaluru,550000.0,"Cloud infrastructure, System administration, Azure, DevOps, PaaS",3.9,DevOps Engineer
Adform,DevOps Engineer,Mumbai,500000.0,"CI/CD, Go, Kubernetes, DevOps, Git",4.1,DevOps Engineer
NatWest,Software Engineer -AML Devops,Chennai,950000.0,"Software deployment, DevOps, Git, Agile, Jenkins",4.1,DevOps Engineer
