company_name,job_role,job_location,salary_pa,skills,company_rating,standardized_job_role
Stratbeans Consulting,AWS Linux Administrator (ALA),Bengaluru,417500.0,"TensorFlow, Elasticsearch, Ansible, openSUSE, Configuration management",3.6,UX Designer
DDigify,Linux Administrator,India,180000.0,"Telephony, System administration, VoIP, Database management, Ubuntu",,UX Designer
Resulticks,Linux administrator,Chennai,4560000.0,"FTP, English, .NET, Information security, PHP",4.2,UX Designer
Arya Omnitalk,Linux Administrator,Pune,405000.0,"FTP, System administration, Operating systems, NFS, LAN",3.7,UX Designer
Tivona Global Technologies,Linux Administrator,Chennai,0.0,"CI/CD, System administration, Software troubleshooting, Kubernetes, Ansible",4.6,UX Designer
Mobzway Technologies,Linux & AWS Intern,Jaipur,0.0,"Security analysis, Software troubleshooting, AWS, Linux",3.8,UX Designer
Vitel Global Communications,Sr Linux Administrator,India,0.0,"FTP, System administration, Azure, Software troubleshooting, NFS",3.5,UX Designer
Workmates Core2cloud,Linux Administrator,Calcutta,503500.0,"SFTP, Drupal, TCP, Cloud infrastructure, System administration",5.0,UX Designer
Inspirisys Solutions,Linux Admin,Hyderābād,4728000.0,"Software troubleshooting, Microsoft SQL Server, Japanese, Windows, SQL",3.6,UX Designer
Fullestop,Linux Server Administrator,Rajasthan,0.0,"FTP, Cloud infrastructure, Azure, MongoDB, OS Kernels",3.6,UX Designer
IIW Hosting,Linux System Admin L1 to L3,Bengaluru,412500.0,"Software troubleshooting, Customer service, Word processing, English, PHP",5.0,UX Designer
Anblicks,Linux Engineer,Hyderābād,665000.0,"System administration, Incident management, NFS, Ansible, Software deployment",4.4,UX Designer
Motorola Solutions,IT Cloud Operations and DevOps with Linux Admin,Bengaluru,475000.0,"System administration, Microsoft Access, Azure, Software troubleshooting, Kubernetes",4.3,UX Designer
ExcelPTP,Linux System Administrator Trainer,India,936000.0,"JBoss, System administration, Tomcat, Firewall, SSL",5.0,UX Designer
Apple,Apple Store Online Systems Engineer - Linux DevOps,Hyderābād,0.0,"CI/CD, Cloud infrastructure, Ansible, Encryption, Git",4.1,UX Designer
Sphinx Solutions,DevOps Engineer with Linux Admin,Pune,600000.0,"CI/CD, Cloud infrastructure, System administration, Azure, Kubernetes",3.4,UX Designer
SoCtronics,Embedded Linux Engineer,Hyderābād,600000.0,"OS Kernels, C, Linux, Debugging",3.6,UX Designer
A-1 Technology,Embedded Linux development Engineer,Bengaluru,650000.0,"OOP, OS Kernels, C++, C, Linux",3.3,UX Designer
techmplish consultancy services,Embedded Linux Kernel Engineer,Bengaluru,2000000.0,"OOP, OS Kernels, C++, C, Linux",,UX Designer
"Advanced Micro Devices, Inc",Software Development Engineer 2 ( Embedded Linux Kernel development Engineer ),Hyderābād,600000.0,"FPGA, Windows, OS Kernels, C++, C",4.0,UX Designer
L&T Technology Services,Embedded Linux development Engineer,Bengaluru,650000.0,"OOP, OS Kernels, C++, C, Linux",3.2,UX Designer
MobileProgramming,Embedded Linux development Engineer,Bengaluru,650000.0,"OOP, OS Kernels, C++, C, Linux",3.6,UX Designer
Sasken Technologies Limited,SENIOR ENGINEER - KERNEL&DRIVER-LINUX,India,0.0,"Git, OS Kernels, Linux",3.8,UX Designer
