,company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
51,Ranolia Ventures,BlockChain Developer,Noida,42.0,"Node.js, Mobile applications, Encryption, Git, Test-driven development",4.5,Blockchain Developer
52,Optim Hire (LAD Software Solutions Pvt LTd),"sr.Blockchain Developer ( Remote, 5+ years, Rust & Substrate, good compensation)",Remote,22.5,"Cloud infrastructure, Rust, Node.js, Kubernetes, Docker",3.6,Blockchain Developer
53,Athh Technologies,Blockchain DEVELOPER,Surat,4.0,Rust,0.0,Blockchain Developer
54,ChainCode Consulting,Blockchain Developer (Public),Bengaluru,5.5,"Cloud infrastructure, Azure, Rust, Go, Node.js",3.8,Blockchain Developer
55,Neosoft Technologies Pvt.Ltd,Blockchain,Mumbai,4.5,,3.9,Blockchain Developer
56,Capital Placement Services,Blockchain Developer 5 Days Working IT Company Remote Work 49,Gurgaon,15.0,"Data structures, Encryption, Information security, Java, C++",0.0,Blockchain Developer
57,Exioms Theory (P) Ltd,Blockchain (Ethereum/Hyperledger) Developer,Pune,48.0,"Jira, Node.js, Git, English, Research",3.7,Blockchain Developer
58,BeeOne Innovations,Blockchain Developer,Cochin,1.9,"Go, Node.js, React",0.0,Blockchain Developer
59,SPERICORN TECHNOLOGY Pvt Ltd,Blockchain Developer,India,6.6,"CI/CD, Rust, Go, DevOps, Encryption",0.0,Blockchain Developer
60,Empiric Infotech LLP,Sr. Blockchain Developer,India,5.4,"Jira, Rust, Trello, Git, Project management",0.0,Blockchain Developer
61,KayJay Global Solutions Pvt. Ltd.,Blockchain Developer,Udaipur,6.645142857142858,"Go, Encryption, Java, Computer networking, Software development",0.0,Blockchain Developer
62,salesbox ai,Blockchain Developer,Bengaluru,5.0,"Sage, Go, Node.js, CSS, React",5.0,Blockchain Developer
63,TechMayntra Services,Blockchain Developer,Ahmedabad,4.5,"Data structures, Encryption, Information security, Java, C++",1.0,Blockchain Developer
64,Whitefield Careers,Senior Blockchain Developer,Bengaluru,17.5,"CI/CD, Go, Cassandra, Kubernetes, Encryption",0.0,Blockchain Developer
65,TalentNest Solutions,Full-Stack Blockchain Developer,Remote,6.0,"Azure, Rust, Node.js, React, Encryption",0.0,Blockchain Developer
66,Planck Epoch Institute of Professional Studies,Blockchain Development Trainee,Calicut,0.9,"Data structures, Analysis skills, Communication skills",0.0,Blockchain Developer
67,RadicalStart,Blockchain developer,Madurai,5.0,JavaScript,3.9,Blockchain Developer
68,Zessta,BlockChain Developer,Hyderābād,5.0,"Azure, Node.js, Data structures, Encryption, Test-driven development",4.6,Blockchain Developer
69,Vivenns,Blockchain Developer – Hyperledger Fabric,Hyderābād,5.0,"Node.js, Software deployment, MongoDB, Database design, AWS",3.7,Blockchain Developer
70,Suffes Com,Blockchain Engineer,Mohali,9.0,"Rust, Go, React",4.3,Blockchain Developer
71,PineSucceed Technologies,BlockChain Developer,Jaipur,14.0,"Node.js, Software deployment, Enterprise Software, JavaScript, PostgreSQL",4.0,Blockchain Developer
72,ClanX,Senior Blockchain Developer - Contract,Mumbai,48.0,"React, Encryption, JavaScript, Usability, APIs",5.0,Blockchain Developer
73,True Value Infosoft,Blockchain Developer,Jaipur,5.0,"Azure, PaaS, AWS, Computer networking, APIs",4.8,Blockchain Developer
74,Apptunix,Blockchain Developer,Mohali,5.0,"Rust, Software development, Communication skills, HTML",3.9,Blockchain Developer
75,SensixTech Private Limited,Blockchain Developer,India,4.5,"CI/CD, Azure, Rust, Node.js, CSS",0.0,Blockchain Developer
76,Keyutech,Blockchain Project Manager,Pune,48.0,"Encryption, Project management",4.0,Blockchain Developer
77,Riaxe Systems,Blockchain Developer,Bhubaneshwar,4.5,"Software troubleshooting, Encryption, Java, PHP, JavaScript",4.0,Blockchain Developer
78,MasterTech WebApplications,Senior Blockchain Developer,Thāne,10.8,"Rust, Go, Node.js, Data structures, Database design",0.0,Blockchain Developer
79,CIS,Blockchain Developer Freshers,Indore,36.0,"AJAX, MVC, CSS, Microsoft SQL Server, Java",4.3,Blockchain Developer
80,WadzPay,Senior Blockchain Developer,India,10.0,"CI/CD, DevOps, Encryption, OOP, Quality assurance",2.9,Blockchain Developer
81,Polygon,Blockchain Lead,Remote,3.3200000000000003,"Rust, Go, Node.js, English, Assembly",3.3,Blockchain Developer
82,Dai Software,Blockchain Developer,Indore,3.0,"XML, Software deployment, Encryption, Microsoft SQL Server, Git",0.0,Blockchain Developer
83,kharido befikar,Blockchain Developer,Chandigarh,3.9,"Software troubleshooting, Java, C++, C, Software development",0.0,Blockchain Developer
84,WadzPay,Blockchain Developer - Golang,India,10.0,"Azure, Go, React, System architecture, Git",2.9,Blockchain Developer
85,Guires Solutions Private Limited,Block chain software Developer,Remote,2.1,"MATLAB, Power BI, Waterfall, DevOps, R",0.0,Blockchain Developer
86,MarketWick pvt ltd,Blockchain Developer,Noida,4.0,"Azure, Rust, Kubernetes, Encryption, Git",0.0,Blockchain Developer
87,Masteringup,Advanced Blockchain in Finance Tools Specialist,Remote,0.96,"Content creation, Teaching experience",0.0,Blockchain Developer
88,Logical Soft Tech Private Limited,Blockchain Developer,Indore,2.64,"Go, Node.js, React, Data structures, Encryption",3.4,Blockchain Developer
89,Zimozi Solutions Pvt. Ltd.,Blockchain Developer,Noida,18.4,"Azure, Rust, Node.js, Cassandra, Data structures",4.3,Blockchain Developer
90,Tokyotechie,Blockchain Developers,Pune,5.5,"Node.js, DevOps, Encryption, JavaScript, REST",4.3,Blockchain Developer
91,Jploft,Blockchain Developer,Jaipur,4.5,"Performance tuning, Go, Node.js, Software troubleshooting, Software deployment",4.5,Blockchain Developer
92,The Liechtenstein Cryptoassets Exchange,Product Associate - Blockchain/Crypto Industry,Gurgaon,48.0,"Analysis skills, Quality assurance, Product development, Product management, Agile",4.1,Blockchain Developer
93,HiFX IT & Media Services,Blockchain Developer,Cochin,6.5,"Go, Data structures, Information security, Java, Communication skills",4.6,Blockchain Developer
94,Propelius Technologies,Sr. Blockchain Developer,Surat,48.0,"Go, JavaScript, IT, Communication skills, Python",5.0,Blockchain Developer
95,KoinBX,Blockchain Developer,Madurai,6.645142857142858,"CI/CD, Node.js, Web development, Software deployment, JavaScript",0.0,Blockchain Developer
96,Polygon,NFT Lead,Remote,3.3200000000000003,"SDKs, Computer networking",3.3,Blockchain Developer
97,PradeepIT Consulting Services,Blockchain Developer,Bengaluru,5.0,"CI/CD, Azure, Go, Node.js, Kubernetes",4.5,Blockchain Developer
98,Webmob,Blockchain Developer,Mohali,5.0,"Rust, Go, Node.js, React, Java",4.5,Blockchain Developer
99,Start Designs,Rust Blockchain Developer,Jaipur,5.5,"Rust, Node.js, Software troubleshooting, React, JavaScript",0.0,Blockchain Developer
100,TokyoTechie,Blockchain NFT Developer,Pune,5.5,"Operating systems, Go, Node.js, React, SAP HANA",4.3,Blockchain Developer
101,Concentrix,Blockchain Senior Developer,Bengaluru,14.0,"Cloud infrastructure, Azure, Go, Node.js, Kubernetes",4.0,Blockchain Developer
102,Secninjaz,Blockchain Developer,Delhi,48.0,"Rust, Go, Node.js, Bootstrap, XML",4.4,Blockchain Developer
103,The Liechtenstein Cryptoassets Exchange,Senior Blockchain Developer,Gurgaon,48.0,"Node.js, Kubernetes, Encryption, NoSQL, SQL",4.1,Blockchain Developer
104,ITH Technologies,Blockchain-Developer,Kanpur Nagar,7.0,"FTP, AJAX, MVC, Go, Node.js",3.5,Blockchain Developer
105,"LBM SOLUTIONS, Mohali",Senior Blockchain Developer,Mohali,6.645142857142858,"Rust, Go, Analysis skills, C++, C",0.0,Blockchain Developer
106,Clarisco Solutions,Sr. Blockchain Developer,Madurai,48.0,"Rust, Web development, Data structures, Encryption, JavaScript",4.9,Blockchain Developer
107,WisewayTec,Sr. Blockchain Developer,Mohali,9.6,"Azure, Rust, Go, Software troubleshooting, AWS",0.0,Blockchain Developer
108,Tech Alchemy,Senior Blockchain Developer (Solana),Pune,5.5,"Rust, Node.js, React, Business analysis, Git",4.2,Blockchain Developer
109,Tridentverse,Block Chain Developer,Visakhapatnam,4.32,"Azure, Rust, Go, Software deployment, AWS",0.0,Blockchain Developer
110,Kappsoft,Senior Block chain Developer,India,11.75,"Node.js, React, Python",3.8,Blockchain Developer
111,[x]cube LABS,Block Chain Developer,Hyderābād,48.0,"Jira, Node.js, Software deployment, Data structures, Encryption",4.4,Blockchain Developer
112,PradeepIT Consulting Services,Senior Golang Blockchain Protocol Developer,Bengaluru,18.5,"Computer science, Go, SAP, Salesforce, Encryption",4.5,Blockchain Developer
113,PradeepIT Consulting Services,Blockchain Specialist,Bengaluru,18.5,"Azure, Go, Software deployment, System architecture, Performance testing",4.5,Blockchain Developer
114,Tether Operations Limited,Senior Blockchain Developer (100% remote - India),Delhi,6.645142857142858,"Buffer, Node.js, Test-driven development, English, JavaScript",0.0,Blockchain Developer
115,PradeepIT Consulting Services,Blockchain Senior Developer,Bengaluru,36.0,"CI/CD, Azure, Go, Node.js, Kubernetes",4.5,Blockchain Developer
116,U2O3 Infotech,BLOCK CHAIN DEVELOPER_3 TO 5 YEARS_BANGALORE,Bengaluru,4.5,"Rust, React, JavaScript, Redux, Angular",2.0,Blockchain Developer
117,Oracle,Senior Member of Technical Staff - Oracle Blockchain Platform Product Development,Bengaluru,18.0,"Performance tuning, Oracle, Go, Node.js, Kubernetes",3.8,Blockchain Developer
118,Kriscent Techno Hub,NFT Creator,Kota,22.015,Encryption,4.6,Blockchain Developer
119,iHub Anubhuti - IIITD Foundation,Block Chain Engineer,Guwahati,6.645142857142858,"Azure, Rust, Go, Google Cloud Platform, AWS",0.0,Blockchain Developer
120,Helius Technologies,BLOCKCHAIN RESEARCH ENGINEER,India,30.0,"Go, Encryption, Research, C++, C",4.2,Blockchain Developer
121,Ultimez,Blockchain Breaking News Correspondent,Remote,14.0,"Google Docs, WordPress, Spark, Public speaking, Recruiting",4.0,Blockchain Developer
