company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Bullsmoves,Backend Developer,Calicut,0.72,"Git, PostgreSQL, REST, Django, APIs",0.0,Backend-Developer
Synextic Global Business Solution,Backend(Node Js) Developer,Pune,6.0,"Data modeling, Node.js, MongoDB, OOP, Analysis skills",4.3,Backend-Developer
Hiretick,Backend Developer,Bengaluru,15.0,"Azure, Kubernetes, Git, MongoDB, Java",0.0,Backend-Developer
Intelous.AI,Backend Developer,India,8.0,"CI/CD, Azure, Java, Microservices, AWS",0.0,Backend-Developer
Electrovese Solutions Pvt Ltd.,Node js Backend Developer,Chandigarh,28.8,"Node.js, Relational databases, Git, English, MongoDB",4.5,Backend-Developer
MockTheta,Backend Developer,Hyderābād,7.347195767195767,"Node.js, Software troubleshooting, Git, Test-driven development, Java",0.0,Backend-Developer
Stickmancyber,Senior Backend Developer,Remote,7.5,"CI/CD, Azure, Go, Software deployment, DevOps",0.0,Backend-Developer
Astria Digital,Node JS Developer,Bengaluru,11.5,"Node.js, Software troubleshooting, Data structures, NoSQL, MongoDB",0.0,Backend-Developer
Spotline Inc,Dot Net Developer,Remote,13.0,"MVC, CSS, Web development, C#, .NET",4.1,Backend-Developer
RemoteState,Backend Developer,India,6.0,"Computer science, Go, Node.js, C#, Microsoft SQL Server",3.9,Backend-Developer
Princenton software services pvt ltd,Java Backend Developer,Mumbai,10.5,"Waterfall, Data structures, English, J2EE, E-Commerce",0.0,Backend-Developer
Act2hire,Java Backend Developer,Bengaluru,12.0,"Software troubleshooting, NoSQL, Git, Java, Microservices",0.0,Backend-Developer
Red Apple Technologies,Backend Developer (Java Or Python),Calcutta,36.0,"CI/CD, Azure, Cassandra, Kubernetes, Load balancing",4.1,Backend-Developer
EnrichAI,Backend developer - Full time,India,24.48,"Node.js, Docker",4.8,Backend-Developer
Terralogic Solutions Inc,Java Backend Developer I,Bengaluru,10.0,"Elasticsearch, Kubernetes, MongoDB, Java, Microservices",0.0,Backend-Developer
Delta4 Infotech Pvt Ltd,Backend Developer Node.js (Fresher),Mohali,5.0,"Node.js, Software troubleshooting, MongoDB, Databases, Express.js",4.4,Backend-Developer
FactWise,Senior Backend Developer,India,24.0,"Computer science, React, Software deployment, DevOps, Data structures",0.0,Backend-Developer
Anvaya Info Solutions Pvt. Ltd,Junior Developer NodeJS,Bengaluru,18.5,"CI/CD, Azure, Node.js, Relational databases, NoSQL",0.0,Backend-Developer
Kartik Engitech Service Pvt Ltd,Backend Developer Intern,Nāgpur,7.347195767195767,APIs,0.0,Backend-Developer
urban culture,NodeJs Backend Developer,Jaipur,6.0,"Authentication, Node.js, React, System design, NoSQL",0.0,Backend-Developer
Gameapp tech,Backend Developer,Remote,2.1,"Software troubleshooting, MongoDB, PHP, APIs, MySQL",0.0,Backend-Developer
MindTrilogy IT Solutions Pvt. Ltd,Senior Backend Engineer,Remote,1.5,"AWS, APIs, TypeScript",0.0,Backend-Developer
Massive Mobility,backend developer,Gurgaon,3.8899999999999997,"Node.js, JavaScript, APIs",2.4,Backend-Developer
Sai Techno Solutions,Backend Developer,India,0.9,"MVC, CSS, Software troubleshooting, Relational databases, Git",0.0,Backend-Developer
Notchup (formerly codemonk.ai),PHP Laravel Developer,Remote,6.0,"Software troubleshooting, PHP, PostgreSQL, REST, APIs",3.8,Backend-Developer
PradeepIT Consulting Services,API Backend Developer(Nodejs),India,8.754545454545454,"Node.js, SAP, Salesforce, REST, APIs",4.5,Backend-Developer
VSE Capital Market,Backend Developer,Vadodara,7.5,"Web design, CSS, JavaScript, APIs, Figma",0.0,Backend-Developer
Freshbox Media,Backend Developer,Thāne,46.8,"CSS, Software troubleshooting, React, Git, PHP",3.9,Backend-Developer
Artivatic’s AI- Native SaaS Solutions,Backend Developer,Remote,7.347195767195767,"Git, Machine learning, Django, APIs, Linux",0.0,Backend-Developer
