company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
IATOCS PVT LTD,Cyber Security Engineer,Remote,10.0,"PCI, English, Information security, NIST standards, ISO 27001",0.0,Cybersecurity Specialist
Sennovate,Security Engineer,Remote,10.0,"CI/CD, Penetration testing, Azure, Encryption, English",0.0,Cybersecurity Specialist
Finapinc,Detection Security Engineer in Sentinel and Defender,Pune,3.9,"Azure, Incident management, Software deployment, Analysis skills, Cybersecurity",0.0,Cybersecurity Specialist
Eltropy,Cybersecurity Engineer,Bengaluru,6.0,"Cybersecurity, Communication skills",4.0,Cybersecurity Specialist
Duoples,Cyber Security Engineer,Remote,4.2,"Azure, Operating systems, Encryption, Windows, Firewall",0.0,Cybersecurity Specialist
Omnissa,Staff Engineer - Penetration Tester,Bengaluru,7.0,,4.1,Cybersecurity Specialist
Scrut Automation,Security Engineer,Remote,6.6,"Azure, Information security, Product development, Scripting, ISO 27001",4.3,Cybersecurity Specialist
Natobotics Technologies Private Limited,Cyber Security Engineer,Noida,20.5,"Azure, PCI, Information security, Nessus, IDS",0.0,Cybersecurity Specialist
Invesco,Junior Risk Analyst,Hyderābād,6.0,,3.8,Cybersecurity Specialist
Amantya Technologies,Embedded Cybersecurity Engineer,Bengaluru,7.5,"Jira, Encryption, Git, PKI, OS Kernels",3.6,Cybersecurity Specialist
LG Soft India,Research Engineer-Automotive Cybersecurity,Bengaluru,7.0,"Encryption, OS Kernels, C++, C, APIs",3.3,Cybersecurity Specialist
ALSTOM,Cybersecurity Engineer,Bengaluru,48.0,"Operating systems, Windows, Firewall, Presentation skills, IDS",3.8,Cybersecurity Specialist
Volvo Group,Cybersecurity and Functional Safety Engineers,Bengaluru,30.0,"Software deployment, PKI, Project management, Ethernet, Agile",4.2,Cybersecurity Specialist
Defence Master India,Cyber Security Engineer,Chennai,6.0,"Microsoft Windows Server, System administration, Operating systems, Software deployment, LAN",0.0,Cybersecurity Specialist
Axiado,SQA Network Security Engineer,Hyderābād,6.0,"TCP, Node.js, LAN, Firewall, DHCP",4.1,Cybersecurity Specialist
Boston Consulting Group,Global IT Security Engineer Senior Specialist,Gurgaon,6.0,"Azure, DevOps, Information security, AWS, Scripting",4.3,Cybersecurity Specialist
Hewlett Packard,Cybersecurity Engineer,Bengaluru,48.0,"Azure, Encryption, SQL, AWS, Metasploit",4.1,Cybersecurity Specialist
Secure Network Solutions India,Trainee - Network Security Engineer (Cisco),Chennai,5.0,"TCP, OSPF, Firewall, Network management, Network protocols",4.4,Cybersecurity Specialist
Secure Network Solutions India,Trainee-Network Security Engineer,Chennai,5.0,"TCP, Analysis skills, IT support, DNS, ISO 27001",4.4,Cybersecurity Specialist
VIBS Infosol Pvt Ltd,Network Security Engineer,India,9.5,"Load balancing, Firewall, WAN, Computer networking, Communication skills",2.6,Cybersecurity Specialist
JRK Infotech,Network Security Engineer,Mumbai,5.5,"TCP, Load balancing, LAN, Firewall, BGP",3.9,Cybersecurity Specialist
NAVNIT GROUP,Network Security Engineer,Mumbai,11.0,"Jira, Data center experience, Operating systems, OSPF, Firewall",0.0,Cybersecurity Specialist
Secure Network Solutions India,Network Security Engineer,Chennai,7.0,"TCP, OSPF, Firewall, Analysis skills, Routing protocols",4.4,Cybersecurity Specialist
Power Bridge Systems,Network Security Engineer,Bengaluru,5.0,"Load balancing, Analysis skills, BGP, Routing protocols, Computer networking",5.0,Cybersecurity Specialist
CACI Ltd,Network Security Engineer (Checkpoint and Fortinet),Pune,6.5,"LAN, Visio, Microsoft Office, Firewall, Network engineering",3.9,Cybersecurity Specialist
Ekronne Recruitment Service,Network Security Engineer,Delhi,6.6,"LAN, Network infrastructure, Firewall, BGP, Computer networking",0.0,Cybersecurity Specialist
IATOCS LLC,Network Penetration Tester,Remote,8.117560975609756,"Penetration testing, TCP, NIST standards, Network protocols, Metasploit",0.0,Cybersecurity Specialist
Zensar Technologies,Network Security Engineer_FireEye_2,Hyderābād,6.5,,3.9,Cybersecurity Specialist
ESDS Software Solution,Jr. Network Security Engineer,Bengaluru,5.5,"TCP, OSPF, Firewall, ITIL, BGP",3.3,Cybersecurity Specialist
Warrior tech solutions,Network Security Engineer (ZScaler),Mumbai,4.5,"Remedy, LAN, Firmware, Firewall, Embedded software",0.0,Cybersecurity Specialist
Immunity Networks & Technologies,Network Security Engineer,India,6.5,"Software deployment, Firewall, Computer networking, Communication skills, Network security",4.5,Cybersecurity Specialist
SpanIdea Systems,Network Security Engineer,Bengaluru,36.0,"Microsoft Windows Server, QoS, TCP, Operating systems, OSPF",3.6,Cybersecurity Specialist
Screatives Software Services Private Limited,Network Security Engineer (Prisma Access),Hyderābād,17.5,"TCP, Cloud infrastructure, Oracle, Firewall, DHCP",0.0,Cybersecurity Specialist
AB TECH SYSTEMS,Network Security Engineer,India,18.7,,3.4,Cybersecurity Specialist
Rackspace,Network Security Engineer I - IN R-20493,Gurgaon,9.5,"TCP, Load balancing, R, OSPF, Firewall",3.5,Cybersecurity Specialist
Corning,Network Security Engineer,Pune,6.5,"TCP, Windows, Technical support, Firewall, IDS",3.8,Cybersecurity Specialist
Computronics System ( India) Pvt. Ltd,Network Security Engineer (Netscope-Proxy),Mumbai,5.5,"Software troubleshooting, Windows, Information security, SDKs, REST",0.0,Cybersecurity Specialist
