company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Spiderweb technologies,DevOps/AWS Engineer,Remote,2.7,"CI/CD, Cloud infrastructure, Azure, Kubernetes, Ansible",0.0,Cloud Engineer
Hexagon AB,Cloud Ops Engineer,Hyderābād,9.299130434782608,"Cloud infrastructure, Azure, Encryption, AWS, Identity & access management",4.1,Cloud Engineer
Dwaith Infotech Pvt Ltd,Azure Cloud Engineer,Remote,6.0,"Power BI, Data modeling, Azure, Spark, SQL",0.0,Cloud Engineer
Alight,Cloud Operations Engineer,Hyderābād,6.333333333333333,"TCP, Cloud infrastructure, System administration, Azure, NFS",3.3,Cloud Engineer
NTT DATA,Private Cloud Engineer,Hyderābād,16.90029411764706,"Cloud infrastructure, System administration, Oracle, VMWare, Research & development",3.8,Cloud Engineer
Flentas Technologies,Cloud Engineer,Pune,7.1875,,4.5,Cloud Engineer
Vodafone,Cloud DevOps Engineer,Pune,6.5,"Jira, SAFe, Business intelligence, Git, Google Cloud Platform",3.9,Cloud Engineer
Technology Next,Cloud Engineer (GCP),Remote,9.6,"CI/CD, Cloud infrastructure, Cloud architecture, Kubernetes, Git",0.0,Cloud Engineer
Eduplex services private limited,Cloud Infrastructure Engineer,Remote,12.5,"CI/CD, Cloud infrastructure, Big data, Writing skills, DevOps",0.0,Cloud Engineer
Mobile Programming India Pvt. Ltd.,Azure Cloud Engineer,Remote,14.0,"CI/CD, Authentication, Cloud infrastructure, Azure, Cloud architecture",0.0,Cloud Engineer
HIRINGHOUSE TECHNOLOGIES PVT LTD,Private Cloud Engineer,Bengaluru,11.5,"Cloud infrastructure, Azure, Cloud architecture, Ansible, Git",0.0,Cloud Engineer
Destek Infosolutions pvt ltd,Cloud Engineer,Pune,4.0,"Azure, Software troubleshooting, Software deployment, Google Cloud Platform, Windows",0.0,Cloud Engineer
Flipkoins,AWS Cloud Engineer - Remote - Indian Timezone,Remote,6.833333333333333,"Ansible, AWS, Terraform, Puppet, Chef",4.7,Cloud Engineer
Cloud Kinetics,Cloud Engineer L1 - AWS,Chennai,16.90029411764706,"FTP, CI/CD, DevOps, LAN, Windows",3.8,Cloud Engineer
ACI Group,Cloud Engineer / IT Administrator,Bengaluru,11.30108695652174,"CI/CD, Cloud infrastructure, Azure, Ansible, DevOps",3.6,Cloud Engineer
"BimSym eBusiness Solutions, Inc",AWS Cloud Engineer,India,8.748025247524753,"Cloud architecture, Software deployment, AWS, APIs, IT",0.0,Cloud Engineer
KShiyaRise,Azure Cloud Engineer,Remote,21.0,"CI/CD, Cloud infrastructure, Azure, Cloud architecture, Kubernetes",0.0,Cloud Engineer
Lumel Technologies,Azure/Cloud Engineer,Chennai,7.1875,"TCP, Azure, Software troubleshooting, Scripting, Computer networking",4.5,Cloud Engineer
Primeindus Fintech Solutions||Indusspay,Cloud Engineer,Bengaluru,6.0,"CI/CD, Elasticsearch, Cloud infrastructure, Azure, Kubernetes",0.0,Cloud Engineer
Stack Console,Sr. Cloud Engineer,Remote,10.0,"OpenStack, VMWare, Apache",4.8,Cloud Engineer
CosMic IT,Cloud Engineer,Remote,3.0,"Azure, Cloud architecture, Research, AWS, Cloud development",2.5,Cloud Engineer
TechO2,AWS Cloud Engineer,Hyderābād,5.0,"CI/CD, Tomcat, NoSQL, Git, Databases",3.7,Cloud Engineer
EY,DE-AWS-Cloud Native Engineer-VG-GDSF02,Hyderābād,11.944444444444445,"CI/CD, Elasticsearch, Microsoft Access, Node.js, Software troubleshooting",3.7,Cloud Engineer
