company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
MyWays,Full Stack Developer,Gurgaon,13.5,"Elasticsearch, Software troubleshooting, Git, MongoDB, Java",0.0,Full-Stack Developer
Aarohiinfo FI Management,FullStack Developer,Pune,5.125,"CSS, WordPress, JavaScript, Content management, Communication skills",3.2,Full-Stack Developer
Xianinfotech LLP,MERN Stack Developer,Remote,2.4,"CI/CD, Azure, Node.js, CSS, Software troubleshooting",3.4,Full-Stack Developer
LogiQuad Solutions,Full Stack Developer,Remote,14.331428571428571,"Node.js, Software troubleshooting, React, Data structures, System design",4.8,Full-Stack Developer
Conative IT Solutions,Web Developer,Indore,36.0,"CSS, WordPress, Web development, Responsive web design, Communication skills",4.0,Full-Stack Developer
Algoscale,MERN Developer,Noida,7.0,"CI/CD, Authentication, Performance tuning, Azure, Node.js",3.9,Full-Stack Developer
Apeiro Solutions,Web Developer,Coimbatore,42.0,"Node.js, CSS, React, Database management, JavaScript",4.2,Full-Stack Developer
Spectrum Talent Management,Python Full Stack Developer,Bengaluru,16.0,"CI/CD, Software troubleshooting, Git, Docker, Continuous integration",3.3,Full-Stack Developer
Mobile Programming India Pvt. Ltd.,MERN Stack Developer,Remote,6.6467399598393575,"Authentication, SSO, Node.js, React, MongoDB",0.0,Full-Stack Developer
Avendata Technology,.NET Full Stack Developer,Remote,6.0,"CSS, Software troubleshooting, Relational databases, .NET Core, C#",0.0,Full-Stack Developer
Antriksh Labs Private Limited,Full Stack Developer Intern,Remote,0.3,"CSS, React, DevOps, Git, English",0.0,Full-Stack Developer
Kal Informatics,Backend Web Developer,Vijayawāda,3.5,"CSS, Software troubleshooting, WordPress, Web development, Software deployment",2.0,Full-Stack Developer
ReyMould Technology Solutions,Full Stack Developer,India,3.5,"Web design, Azure, Node.js, CSS, React",0.0,Full-Stack Developer
KShiyaRise,MERN Stack Developer,Remote,16.0,"CI/CD, Elasticsearch, Azure, Node.js, React",0.0,Full-Stack Developer
FyerX,Web Developer - React and Wordpress,Remote,14.4,"CSS, React, WordPress, Web development, Git",4.0,Full-Stack Developer
NicheTech Computer Solutions,Full Stack Developer trainee intern,India,14.331428571428571,"Data modeling, Node.js, React, Software deployment, Java",4.8,Full-Stack Developer
Grow Digi India Limited,Full Stack Developer,Remote,3.5,"CSS, Bootstrap, React, Git, JavaScript",0.0,Full-Stack Developer
Glocal Pinnacle Solutions Pvt Ltd,Full Stack Web Developer,India,5.0,"Node.js, CSS, Bootstrap, React, Responsive web design",3.1,Full-Stack Developer
Fire Bee Techno Services,Full stack Developer,India,10.571428571428571,"Node.js, React, PHP, OOP, JavaScript",4.6,Full-Stack Developer
Helius Technologies,Fullstack Blockchain Developer,India,11.954285714285714,"Microsoft Outlook, Go, Node.js, CSS, React",4.2,Full-Stack Developer
Hoch Tech Solutions,Full Stack Developer,India,6.6467399598393575,"Machine learning, Embedded software, Data science, AI",0.0,Full-Stack Developer
Opris Exchange,Full Stack Developer,Madurai,2.4,"CI/CD, Node.js, CSS, React, Software deployment",0.0,Full-Stack Developer
Shamlatech,Mern Stack Developer,India,13.933333333333332,"Jira, Azure, Node.js, CSS, React",3.7,Full-Stack Developer
Rain Infotech,MERN Developer,Surat,12.653846153846153,,5.0,Full-Stack Developer
Rain Infotech,NextJs Developer,Surat,12.653846153846153,,5.0,Full-Stack Developer
Parkar Digital,Full Stack Developer,Pune,5.0,"CI/CD, Azure, CSS, React, Kubernetes",2.6,Full-Stack Developer
Shamlatech,Mean Stack Developer,India,13.933333333333332,"Jira, Azure, Node.js, CSS, Kubernetes",3.7,Full-Stack Developer
Block Intelligence,Full Stack Developer,India,8.5,"MongoDB, AWS, JavaScript, MySQL",0.0,Full-Stack Developer
Bitvatz Solutions,Web Developer and Administrator,Chennai,6.6467399598393575,"Web design, Node.js, CSS, Bootstrap, WordPress",0.0,Full-Stack Developer
Associative,Web Developer,India,0.3,"Marathi, Drupal, Oracle, Node.js, Unreal Engine",0.0,Full-Stack Developer
Coinbase,Staff Full Stack Software Engineer - Security,Remote,46.0,"Go, React, Kubernetes, XML, SQL",3.8,Full-Stack Developer
WeAlwin Technologies,MERN Stack Developers,Madurai,36.0,"Node.js, React, Git, MongoDB, Analysis skills",4.0,Full-Stack Developer
Beleaf Technologies,Full Stack Developer,India,3.6,"Node.js, React, MongoDB, JavaScript, Leadership",0.0,Full-Stack Developer
Himotech Global PVT. LTD,"MERN Stack Developer (Rust, Solana)",Remote,6.6467399598393575,"Azure, Rust, Node.js, React, DevOps",0.0,Full-Stack Developer
Nadcab Technology,MERN Stack Developer,Allahabad,3.3,"Node.js, CSS, Software troubleshooting, React, Git",0.0,Full-Stack Developer
Alpharive Tech Pvt Ltd.,Senior MERN stack developer,Madurai,5.0,"CI/CD, Node.js, CSS, React, Software deployment",0.0,Full-Stack Developer
Pleasant Inc.,Full Stack Developer,India,3.9,"Node.js, React, Mobile applications, MongoDB, SQL",0.0,Full-Stack Developer
LCX,Backend Web Developer & Automation Expert,Gurgaon,16.02608695652174,"Node.js, SQL, PHP, JavaScript, REST",4.1,Full-Stack Developer
Helius Technologies,Fullstack JavaScript Engineer,India,11.954285714285714,"Node.js, CSS, React, NoSQL, Git",4.2,Full-Stack Developer
Hivelance Technologies,MEAN Stack Developer,Madurai,6.6467399598393575,"Node.js, CSS, React, MongoDB, Database management",0.0,Full-Stack Developer
Ultrapro Blockchain Tech Private Limited,MERN Stack Developer,India,6.6467399598393575,"Node.js, CSS, Software troubleshooting, React, Git",0.0,Full-Stack Developer
BABDE,Senior Full Stack Developer,India,13.0,"TensorFlow, CI/CD, Image processing, Azure, React",0.0,Full-Stack Developer
Thoughtwin,Mern Stack,Indore,6.125,"Node.js, Software troubleshooting, React, English, Analysis skills",3.3,Full-Stack Developer
PrimaFelicats Pvt. Ltd,MEAN Stack Developer,Noida,3.42,"Statistics, Node.js, CSS, Software troubleshooting, React",0.0,Full-Stack Developer
[x]cube LABS,MERN Stack Developer,Hyderābād,36.0,"CI/CD, Node.js, React, Kubernetes, Software deployment",4.4,Full-Stack Developer
[x]cube LABS,Full Stack Developer,Hyderābād,19.875,"Web design, CI/CD, Node.js, CSS, React",4.4,Full-Stack Developer
PlaceUp,Full Stack Developer,Gujarat,6.6467399598393575,"Go, Node.js, Software troubleshooting, React, Kubernetes",0.0,Full-Stack Developer
Indus Net Technologies,Java Fullstack Developer,Calcutta,5.5,"Jira, CI/CD, Azure, Go, React",4.2,Full-Stack Developer
The Liechtenstein Cryptoassets Exchange,Backend Web Developer & Automation Expert,Gurgaon,5.0,"Node.js, SQL, PHP, JavaScript, REST",4.1,Full-Stack Developer
