company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Zluck Solutions,ReactJS Developer - Fresher,Surat,13.68,"React, English, JavaScript, REST, Redux",5.0,Developer Roles
Technocrats Horizons Compusoft Pvt. Ltd.,React Native Developer,India,4.2,"Software troubleshooting, React, Mobile applications, iOS, JavaScript",0.0,Developer Roles
Tantrasoft Solutions,Junior Node Js Developer,Mumbai,3.5,"Node.js, English, Express.js, JavaScript, Communication skills",3.3,Developer Roles
Tiooex,Node js developer,Remote,6.0,"Azure, Go, Node.js, Git, MongoDB",0.0,Developer Roles
Womennnovator,UI/Front End Developer,Delhi,10.051428733681462,"CSS, React, JavaScript, ECMAScript, Angular",0.0,Developer Roles
Pixel Tech,Front End Developer,Indore,2.5,"React, Git, Responsive web design, JavaScript, REST",0.0,Developer Roles
Nexgensis Technologies PVT LTD,ReactJS Developer,Pune,3.0,"CSS, Software troubleshooting, React, Performance testing, Project management",0.0,Developer Roles
Winsmart Jobs,Front End Developer,Gurgaon,22.5,"Hybris, CSS, Bootstrap, SAP, Git",0.0,Developer Roles
ParallaxIQ,Front End Developer,Jaipur,6.0,"CSS, React, Git, Responsive web design, Application development",0.0,Developer Roles
KIPL Global,ReactJS Developer,Pune,10.051428733681462,"CSS, React, JavaScript, Redux, Angular",0.0,Developer Roles
The Night Marketer,Front End Developer,India,4.5,"CSS, React, WordPress, Git, Analysis skills",0.0,Developer Roles
E-hawkers Digital Solutions,Front End Developer Intern,India,8.64,"Node.js, CSS, React, Responsive web design, Express.js",0.0,Developer Roles
Do some chakka,Wordpress Developer,Remote,10.051428733681462,"WordPress, Malayalam, English, JavaScript, Communication skills",0.0,Developer Roles
Discover WebTech Private Limited,MERN Developer,Indore,54.0,"Node.js, CSS, React, Git, MongoDB",3.5,Developer Roles
Virtusa,ReactJs Developer,Bengaluru,78.0,"Node.js, React, Redux, TypeScript, jQuery",3.7,Developer Roles
Vinfotech,Front end Developer,Indore,5.5,"Gradle, React, Git, JavaScript, ECMAScript",3.4,Developer Roles
Digitek Marketing,Wordpress Developer,Remote,4.5,"Web design, CSS, WordPress, Responsive web design, PHP",0.0,Developer Roles
Kartik Engitech Service Pvt Ltd,Front End Developer,India,10.051428733681462,"CI/CD, CSS, Bootstrap, React, Git",0.0,Developer Roles
Crypton Tech Private limited,Front End Developer,Erode,24.48,"CSS, Express.js, JavaScript, Agile, TypeScript",5.0,Developer Roles
Diginest Solutions Private Limited,Junior Front End Developer,India,2.7,"CSS, React, Software deployment, Mobile applications, iOS",0.0,Developer Roles
Compileinfy Technology Solutions,Node js developer,Hyderābād,6.0,"CI/CD, Azure, Node.js, React, DevOps",0.0,Developer Roles
Sntrix,ReactJS Developer,India,4.2,"CSS, React, Git, JavaScript, REST",0.0,Developer Roles
Aintiram Web Tech Private Limited,ReactJS Developer,Hyderābād,10.051428733681462,"Node.js, CSS, React, XML, Microsoft SQL Server",0.0,Developer Roles
Mother Software and Technology Services,Junior React JS Developer,Tiruchchirāppalli,10.051428733681462,"Node.js, CSS, Software troubleshooting, React, Performance testing",0.0,Developer Roles
"Signimus Technolgies: Hiring Python, MERN, React Native and other Devs",Wordpress Developer training internship,Remote,10.051428733681462,"CSS, WordPress, Web development, JavaScript, SEO",0.0,Developer Roles
Extended Web AppTech,ReactJS Developer,Hyderābād,48.0,"Node.js, CSS, React, Git, JavaScript",4.2,Developer Roles
Amphisoft Technologies,Front End Developer,India,8.0,"CSS, React, Git, Responsive web design, JavaScript",0.0,Developer Roles
HiringGo,Front End Developer,Pune,4.5,"Web design, CSS, Git, English, Responsive web design",0.0,Developer Roles
Prettify Creative,Front End Developer,Gurgaon,43.2,"Web accessibility, CSS, Software troubleshooting, React, Git",5.0,Developer Roles
ABS Solutions,Front End Developer,Jaipur,1.5,"CSS, MongoDB, JavaScript, Front-end development, HTML",0.0,Developer Roles
Pyramid Global Technologies,Front End Developer,Mohali,72.0,"Node.js, React, HTML",5.0,Developer Roles
2Hats Logic Solutions,Front End Developer,Cochin,72.0,"Web accessibility, CSS, React, Responsive web design, JavaScript",4.7,Developer Roles
Aviansoft Private Limited,Front End Developer,India,3.3,"CSS, React, Git, JavaScript, REST",0.0,Developer Roles
EG Allied Private Limited,Front End Developer,India,5.0,"Web accessibility, CSS, React, Web development, Git",0.0,Developer Roles
Exzatech consulting and services Pvt Ltd,Node.js Developer,Bengaluru,54.0,"Node.js, CSS, Kubernetes, Git, Java",3.6,Developer Roles
Spruko Technologies,Node.js Developer,India,67.87428571428572,Node.js,5.0,Developer Roles
Silico Software Solutions,Front End Developer,Surat,2.4,"Jira, CSS, React, Trello, Git",0.0,Developer Roles
Helioster,ReactJS Developer Intern,India,5.04,"CSS, React, Git, Responsive web design, JavaScript",0.0,Developer Roles
Moggly Design Studio,Front End Developer,Bhilai,10.051428733681462,"CSS, React, Git, JavaScript, Adobe XD",0.0,Developer Roles
Green Media Technology,Front End Developer,India,2.1,"CSS, Bootstrap, React, Web development, Git",0.0,Developer Roles
Tantrasoft Solutions I Pvt Ltd,Node js developer,India,10.8,"Node.js, CSS, Express.js, JavaScript, HTML",0.0,Developer Roles
CloseDigitllp,ReactJS Developer Intern,India,5.76,"CSS, React, Web development, Git, JavaScript",0.0,Developer Roles
Deep Technologies,Front End Developer,Surat,6.0,"CSS, React, Web development, Git, Responsive web design",2.4,Developer Roles
Utopian Gateway,Wordpress Developer,Remote,10.8,"CSS, WordPress, Web development, Responsive web design, PHP",0.0,Developer Roles
Green goods packaging Pvt ltd,Wordpress Developer Intern,Remote,10.051428733681462,"CSS, WordPress, Web development, JavaScript, SEO",0.0,Developer Roles
Redlio Designs,Front End Developer,India,1.5,"Web design, CSS, React, Git, Responsive web design",0.0,Developer Roles
Valentina Gems LLC,Front End Developer,India,7.5,"CSS, React, Git, Responsive web design, JavaScript",0.0,Developer Roles
RISHABH GROUP IND!A (RGI),Front End Developer,Ujjain,2.4,"CSS, Bootstrap, JavaScript, Front-end development, JSON",0.0,Developer Roles
Mutual Objects,React Website Developer,Bengaluru,3.66,"CSS, Bootstrap, React, Content management systems, Git",0.0,Developer Roles
Cherri Technologies,Front End Developer,India,2.22,"CSS, MongoDB, JavaScript, Angular, Front-end development",3.4,Developer Roles
AleaIT Solutions Pvt. Ltd.,Front End Developer,India,4.8,"CSS, React, Git, Responsive web design, JavaScript",0.0,Developer Roles
infobeckons technologies,Front End Developer Intern,Chandigarh,6.066666666666666,"CSS, MongoDB, JavaScript, Front-end development, HTML",1.0,Developer Roles
Flipkoins,React.js Developer - Remote - Indian Timezone,Remote,78.79384615384615,"CSS, Software troubleshooting, React, Application development, JavaScript",4.7,Developer Roles
MentorBeep,Senior Front End Developer,Pune,11.5,"CI/CD, Ant, CSS, React, Git",0.0,Developer Roles
