company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Nordek,Flutter Developer Web3 Expert,Delhi,4.8,"CI/CD, Node.js, Software troubleshooting, iOS development, iOS",0.0,App Developer
Associative,Web3 Developer,Pune,0.3,"Marathi, Drupal, Oracle, Node.js, Unreal Engine",0.0,App Developer
intellinez,Flutter Mobile App Developer,Mohali,10.162424242424242,"Microsoft Access, Mobile applications, Git, Application development, JavaScript",4.0,App Developer
iNautical Software,iOS Native App Developer,Chandigarh,12.379999999999999,"Live chat, Web design, Pricing, Operating systems, React",4.2,App Developer
EY,DE-Senior Flutter Developer-GDSN02,Bengaluru,17.81764705882353,"CI/CD, Azure, Node.js, Cordova, CSS",3.7,App Developer
Accenture,Application Developer,Coimbatore,20.186666666666667,"Business intelligence, SQL, AWS, Analysis skills, Presentation skills",3.8,App Developer
Elite Edge,Mid Android Engineer,Bengaluru,27.5,"Performance tuning, Git, Android, Java, OOP",0.0,App Developer
Accenture,Application Developer,Pune,20.186666666666667,"Performance tuning, Data modeling, Oracle, SQL, Database management",3.8,App Developer
Coforge Ltd.,ASSOCIATE - IT OPS SERVICES - Nagios Administrator,Bengaluru,15.090909090909092,"Oracle, Software deployment, Encryption, Microsoft SQL Server, Windows",3.5,App Developer
Pattern Drive,Hiring a Web3 Digital Marketing Specialist - INDIA,India,10.5,"Google Suite, Social media marketing, Salesforce, Tableau, Analysis skills",4.6,App Developer
Qualcomm,SW Embedded Android Engineer,Hyderābād,6.5,"Software troubleshooting, Android, Java, C++, C",3.9,App Developer
Dell,Software Engineer 2 BIOS Automation,Bengaluru,7.5,"C++, C, Perl, Agile, Python",3.9,App Developer
Testcore Solutions,Embedded System Engineer (Android HAL),Hyderābād,13.5,"Git, Android, C++, C, Embedded software",0.0,App Developer
Tech Vibrant,Android Systems Engineer,Bengaluru,6.5,"Git, OS Kernels, C++, C, Embedded software",0.0,App Developer
KPIT Technologies GmbH,Connected Vehicle_Android BSP Engineer,Bengaluru,5.5,"OS Kernels, Embedded software, Linux, ARM",4.0,App Developer
deltatre,Android Software Engineer (Senior),India,6.2,"MVC, JUnit, iOS, Git, English",3.1,App Developer
Qualcomm,SW Embedded Linux Android Engineer,Hyderābād,6.5,"Software troubleshooting, Internet of things, OS Kernels, C++, SoC",3.9,App Developer
Qualcomm,Android Platform - Senior Engineer,Hyderābād,36.0,"Android, Java, C++, C, Software development",3.9,App Developer
Accenture,Application Developer,Hyderābād,20.186666666666667,"CSS, React, JavaScript, REST, Redux",3.8,App Developer
Infosys,"Mobile Developer (iOS,Swift,Swift UI)",Bengaluru,5.0,"iOS, Quality assurance, Swift",3.6,App Developer
Aliqan Technologies,Mobile Developer- Frontend UI Focus,Hyderābād,18.0,"React, iOS, Git, Responsive web design, Adobe XD",4.6,App Developer
Krea University,Web Application Developer – Trainee,India,20.186666666666667,"Go, Microsoft SQL Server, Java, PHP, JavaScript",3.8,App Developer
Zgrow Solutions Private Limited,Flutter full stack developer,Remote,7.5,"MongoDB, Java, Communication skills",0.0,App Developer
Allied Biztech Solutions,Full-Stack Flutter Developer (Fresher),Remote,4.825,"Git, MongoDB, PostgreSQL, REST, UX",3.0,App Developer
I Tech solutions,FULL STACK MOBILE DEVELOPER,Mumbai,9.0,"Node.js, CSS, Mobile applications, NoSQL, Google Cloud Platform",3.8,App Developer
Herbo inc,"Full-Stack Developer (Flutter, Laravel, API Integration)",Remote,0.6,"CSS, Mobile applications, APIs, HTML",0.0,App Developer
Sun Kpo,JC103 - Junior Full Stack Mobile Developer,Hyderābād,5.5,"CSS, React, iOS development, Software deployment, iOS",3.9,App Developer
Accenture,Application Developer,Hyderābād,20.186666666666667,"Test management tools, Test automation, Quality assurance, APIs, Software testing",3.8,App Developer
REXMAN,Full Stack Web Application Developer | Programmer,Remote,11.5,"Statistics, ASP.NET, MVC, Node.js, CSS",3.7,App Developer
alive now,Game Developer / VR Apps Developer,Bengaluru,5.5,"C#, .NET, OOP, Unity",4.1,App Developer
Concentrix,Android Developer,Hyderābād,10.162424242424242,"Performance tuning, Azure, MVC, Git, Android",4.0,App Developer
Meesho,Android Developer - I,Bengaluru,6.0,"Spark, Git, Android, Java, OOP",3.8,App Developer
GreedyGame Media,ANDROID DEVELOPER INTERN,Bengaluru,10.162424242424242,"Git, Java, SDKs",4.0,App Developer
Richlabz IT Solutions Pvt. Ltd.,Android Developer,India,5.076593803921568,"Android, Java, Application development, SDKs, REST",0.0,App Developer
