company_name,job_role,job_location,salary_lpa,skills,company_rating,standardized_job_role
Technomine BPO Private Limited,IT Administrator,Ahmedabad,2.1,"Software troubleshooting, LAN, Firewall, VoIP, Project management",0.0,IT Specialist
OnlineInfatuation,Tech Support Agent (International Process),India,2.88,"Software troubleshooting, English, Technical support, Usability, Communication skills",0.0,IT Specialist
impact pvt,IT Service Desk Analyst (Japanese),Bengaluru,4.0,"Google Suite, English, Japanese, ServiceNow, Active Directory",0.0,IT Specialist
W3teaches,IT Specialist,Noida,2.7,"Software troubleshooting, System security",0.0,IT Specialist
Concepts India HR Services,IT Administrator,Hyderābād,4.5,"Network administration, TCP, System administration, IIS, LAN",0.0,IT Specialist
Saraswati MG Groups,IT Support Executive,Jalgaon,1.68,"Software troubleshooting, LAN, Microsoft Office, ServiceNow, Linux",0.0,IT Specialist
Juvenca Online Pvt Ltd,IT Administrator,India,3.06,"Computer science, Azure, Operating systems, Software troubleshooting, IT",2.6,IT Specialist
Accenture,Application Tech Support Practitioner,Pune,9.690000000000001,"Technical support, Analysis skills, Communication skills",3.8,IT Specialist
Rajat Buildtech Pvt. Ltd.,IT Administrator,India,3.0,"English, Microsoft Office, IT",0.0,IT Specialist
Ceragon,IT Helpdesk Representative,Bengaluru,48.0,"TCP, Software troubleshooting, SCCM, Customer service, Encryption",4.0,IT Specialist
Unisys,IT Asset Management (ITAM) – IT Specialist 2,Bengaluru,5.5,"Asset management, Management, Java, Continuous improvement, JavaScript",3.6,IT Specialist
PATTAMBI INVESTMENTS AND LOANS PRIVATE LIMITED,IT Support Officer,Thrissur,1.26,"English, Microsoft Office, ServiceNow",0.0,IT Specialist
SBMB Projects Pvt Ltd,IT Support,India,3.882758620689655,"Power BI, Microsoft Excel, LAN, Tableau, Java",0.0,IT Specialist
Elite Technocrats,IT Support Manager / Executive,Surat,5.5,"Microsoft Word, Microsoft Excel, Microsoft Outlook, Operations management, Microsoft Office",2.3,IT Specialist
Bitla Software Pvt Ltd,Tech Support Executive,India,12.24,"Customer service, English, Technical support, Microsoft Office, Hindi",4.0,IT Specialist
THE RRKS,IT Helpdesk Technician,Andhāri,3.5,"Software troubleshooting, Customer service, Analysis skills, Cybersecurity, Communication skills",0.0,IT Specialist
SAG Infotech,Tech Support 0-2 Years,Jaipur,12.0,"Desktop support, Technical support, Communication skills",4.0,IT Specialist
XL Dynamics India,IT Helpdesk Executive,Navi Mumbai,4.0,"Operating systems, Software troubleshooting, LAN, Windows, Microsoft Office",2.8,IT Specialist
ATSPL - Maharashtra - C56,IT Support Associate II,Mumbai,6.0,"Customer service, Windows, AWS, IT support, Linux",3.6,IT Specialist
Rupeeseed Technology Ventures,Tech Support,Nashik,5.5,"Software deployment, Technical support, Functional testing, SQL, Software development",3.9,IT Specialist
Lummus Technology,IT Specialist II - Sales Force Administrator,Gurgaon,5.5,"Salesforce, E-Commerce, Data management, Communication skills",3.7,IT Specialist
Accenture,Infra Tech Support Practitioner,Nāgpur,9.690000000000001,"Software troubleshooting, Technical support, Computer networking",3.8,IT Specialist
M/s. Prerana Motors Pvt Ltd,Executive IT Support,Bengaluru,2.88,"Microsoft Windows Server, Tally, Software troubleshooting, SAP, Accounting software",0.0,IT Specialist
Panacea Healthcare Management,IT Technician,Ahmedabad,28.8,"EPA, CCTV, Microsoft Office, Electrical experience, Computer networking",4.0,IT Specialist
Plasma Computing Group,IT Help Desk Executive,Noida,4.5,"LAN, IT, Help desk",4.1,IT Specialist
Innovative insightt,Tech Support Voice,India,3.5,"English, Technical support, Hindi",0.0,IT Specialist
Flight Simulation Technique Centre,Sr./Executive - IT Support,Gurgaon,4.25,"Software troubleshooting, Microsoft Office, Computer skills",3.1,IT Specialist
Bathiya & Associates LLP,IT Support Required Bathiya & Associates LLP -Andheri east,India,30.24,"Software troubleshooting, LAN, Windows, Active Directory, VPN",4.2,IT Specialist
Aishwarya Fish Acquarium,IT Support Technician,Jāmnagar,2.4,"Organizational skills, AI",0.0,IT Specialist
Helius Technologies,LEAD IT SUPPORT,India,13.966666666666667,"TCP, Software deployment, English, Project management, Computer networking",4.2,IT Specialist
ADCI - Tamil Nadu,"Specialist, Quality Services, Device Tech Support",Chennai,5.0,"Technical support, Communication skills",3.6,IT Specialist
Travarsa,IT Help Desk Technician,Pune,30.0,"Software troubleshooting, Communication skills, Help desk, Mobile devices",5.0,IT Specialist
HRCONNECT CONSULTANCY SERVICES PTE LTD,Digital Transformation/IT Support,Chennai,3.882758620689655,"Software troubleshooting, Linux, Communication skills",0.0,IT Specialist
FTC Solar Inc.,IT Security & Compliance Administrator,Bengaluru,16.0,"Azure, IT auditing, English, SOX, Microsoft Office",0.0,IT Specialist
Easy Solution,IT Support Executive/Telecaller,Delhi,17.5,Communication skills,5.0,IT Specialist
Ducem Technologies Private Limited,IT Administrator,Dahej,4.5,"ERP systems, Project management, Leadership, Communication skills",0.0,IT Specialist
Marken,IT Service Desk Analyst - L1,Maharashtra,4.0,"Azure, Operating systems, Software troubleshooting, Customer service, English",2.8,IT Specialist
Pradhan Mercantile Pvt Ltd,IT Administrator,India,2.1,"Computer science, Azure, Operating systems, Software troubleshooting, IT",0.0,IT Specialist
Genesis HR Services,IT Support,Pune,3.0,"English, Technical support, DNS, ServiceNow, Communication skills",0.0,IT Specialist
Easebuzz Pvt Ltd,Tech Support,Calcutta,4.5,"Software troubleshooting, Technical support, Software development, APIs, SDLC",3.1,IT Specialist
You Broadband,IT Help Desk,India,6.5525,"TCP, Microsoft Outlook, Customer service, LAN, Windows",3.4,IT Specialist
AccorCorpo,IT Service Desk Manager,Gurgaon,20.38888888888889,Help desk,3.9,IT Specialist
Mind map IT Solutions,IT Support Services Specialist,Mohali,3.0,"Operating systems, Microsoft Office, Firewall, IT support, ServiceNow",0.0,IT Specialist
A.R.S Arm of India,IT Administrator in School,Noida,2.7,"Windows, Firewall, Analysis skills, Computer hardware, Network protocols",0.0,IT Specialist
Gambit,IT Support Executive,Rājkot,2.4,"English, Microsoft Office, Analysis skills, ServiceNow, SEM",0.0,IT Specialist
Team Computers,IT Service Delivery Specialist,Delhi,18.28375,"Cloud infrastructure, System administration, Azure, PaaS, AWS",4.0,IT Specialist
YDigital,Junior IT Technician,India,1.5,"English, Microsoft Office, ServiceNow",0.0,IT Specialist
Mind map IT Solutions,IT Support Manager,Kharar,3.18,"Software troubleshooting, Windows, Technical support, IT support, Help desk",0.0,IT Specialist
PairSoft,Senior IT Security Administrator,Remote,24.0,"Oracle, Software troubleshooting, PCI, IIS, Visual Basic",4.0,IT Specialist
ADCI - Tamil Nadu,"Associate, Quality Services, Device Tech Support",Chennai,42.0,"Technical support, Agile, Root cause analysis",3.6,IT Specialist
Vardaam Web Solutions Pvt. Ltd.,Tech Support,Vadodara,21.6,"English, Technical support, Linux, Communication skills",4.5,IT Specialist
Fourth Dimension Technologies Pvt. Ltd,IT Helpdesk Coordinator,India,30.0,"Microsoft Powerpoint, Microsoft Excel, Microsoft Office, ServiceNow, Help desk",4.3,IT Specialist
TechUnity Software Systems India Pvt Ltd,Level 1/Level 2 Tech Support - Windows Administrator,Coimbatore,10.0,"Microsoft Windows Server, Software troubleshooting, Disaster recovery, Windows, Technical support",4.1,IT Specialist
BBS,IT Specialist- Commvault,Gurgaon,48.0,"Microsoft Windows Server, Oracle, NFS, SAP, LAN",4.0,IT Specialist
symplr,IT Help Desk Engineer,Bengaluru,3.5,"Azure, Software troubleshooting, Enterprise Software, iOS, Microsoft Exchange",3.4,IT Specialist
DextrousD Technovation Pvt Ltd,IT Helpdesk Support,India,1.2,"Software troubleshooting, Customer service, Windows, Microsoft Office, IT support",0.0,IT Specialist
Dhrupad Technologies,IT Helpdesk Associate,India,7.2,"English, Microsoft Office, Communication skills",4.6,IT Specialist
SS&C,IT Support - Contract Staff,Navi Mumbai,5.0,IT support,3.1,IT Specialist
Chromatic Infosystems,IT HELPDESK EXECUTIVE,India,3.882758620689655,LAN,0.0,IT Specialist
